league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
Ligue_1,2017,h,3.30483,0.198721,9,2,9.392857142857142,28.105263157894736
Bundesliga,2017,a,1.56701,4.42734,6,13,11.545454545454543,17.214285714285715
EPL,2014,a,0.347185,1.88364,0,12,28.785714285714285,6.96875
Bundesliga,2015,a,2.27848,0.217596,14,1,5.419354838709677,20.375
EPL,2015,h,2.98465,0.995273,15,3,3.6666666666666665,23.76923076923077
Serie_A,2014,a,2.70517,1.45174,7,6,18.25,4.767441860465116
Ligue_1,2016,h,0.539549,1.40043,3,4,11.31578947368421,13.666666666666666
Serie_A,2015,h,1.37488,2.27757,2,16,13.758620689655173,9.761904761904765
EPL,2014,h,1.67826,0.731022,7,2,8.91304347826087,7.769230769230769
La_liga,2015,a,1.13142,1.00904,6,4,3.8157894736842106,5.128205128205129
Ligue_1,2017,h,1.75619,1.67713,1,5,8.5,16.03846153846154
Bundesliga,2019,a,3.98532,0.263544,10,0,9.36842105263158,65.85714285714286
EPL,2014,h,1.12811,1.21303,6,8,8.25,11.88888888888889
Ligue_1,2017,h,1.06375,0.63507,5,5,14.592592592592592,12.466666666666669
Bundesliga,2014,a,2.06226,0.382848,5,1,5.433333333333334,10.0
La_liga,2016,a,2.6956,0.530853,5,4,10.580645161290322,19.36842105263158
La_liga,2017,a,0.949254,1.95052,4,12,11.391304347826088,7.103448275862069
La_liga,2014,a,1.91558,0.648718,9,2,15.846153846153848,7.2
EPL,2018,h,1.96816,1.46751,6,10,4.327272727272727,9.954545454545457
Serie_A,2017,h,3.36508,0.899718,4,4,6.904761904761905,21.157894736842103
EPL,2017,h,1.40115,1.79894,4,7,9.806451612903226,6.0
Bundesliga,2016,h,2.0053,2.23834,3,6,23.133333333333333,8.472222222222221
Ligue_1,2018,h,1.67735,0.225282,6,1,9.04,27.33333333333333
Ligue_1,2015,h,0.696353,0.531661,4,2,7.36,14.045454545454543
Serie_A,2015,h,0.338728,2.68244,2,12,26.428571428571427,7.655172413793103
Serie_A,2015,h,1.34479,0.889238,4,4,15.0,8.18918918918919
Ligue_1,2016,a,0.357563,1.12194,1,2,8.035714285714286,11.736842105263158
La_liga,2017,h,3.07987,0.352756,1,4,13.826086956521738,7.12
Serie_A,2015,h,0.554354,1.55653,5,6,11.17948717948718,10.08
EPL,2017,h,1.7986,2.0544,2,9,8.185185185185185,9.0
La_liga,2017,h,1.29777,1.22097,8,6,10.411764705882351,10.875
La_liga,2015,a,2.08255,0.804064,3,7,8.076923076923077,6.542857142857143
La_liga,2014,h,0.827697,0.371997,2,1,5.5,16.25
EPL,2019,a,1.12034,2.73185,3,6,11.205882352941176,11.357142857142858
